"word1","word2","n"
"security","disability",9843
"ssi","benefit",9843
"emergency","rental",9840
"building","construction",9786
"eligible","low",9714
"federal","stimulus",9714
"rent","relief",9714
"stimulus","rent",9714
"noisy","neighbor",9629
"lost","stolen",9605
"discount","metrocard",9602
"fares","discount",9602
"metrocard","program",9602
"report","rats",9576
"fares","metrocard",9511
"stolen","damaged",9511
"unemployment","insurance",9504
"mental","health",9392
"free","legal",9386
"public","space",9366
"issues","including",9331
"nyc","child",9281
"substance","abuse",9248
"apartment","building",9245
"abuse","issues",9242
"including","crisis",9242
"request","correct",8999
"earlylearn","nyc",8866
"program","erap",8860
"covid","federal",8734
"relief","emergency",8734
"city","residency",8652
"prove","identity",8652
"required","documents",8652
"lawyer","referral",8636
"legal","services",8636
"referral","free",8636
"branch","cracked",8583
"cracked","branches",8583
"fallen","tree",8583
"poor","condition",8583
"business","tax",8448
"report","building",8425
"rent","regulated",8009
"approved","plans",7978
"pay","parking",7895
"parking","tickets",7817
"related","services",7781
"tickets","camera",7781
"care","program",7659
"city","park",7587
"walk","signal",7489
"sick","animal",7397
"tax","credit",7396
"city","tree",7291
"illegal","dumping",7175
"tax","exemption",7139
"shelter","intake",7107
"health","insurance",7093
"city","street",7068
"tax","payment",7053
"age","60",7051
"insurance","claim",7043
"school","students",6893
"health","code",6860
"laws","health",6850
"life","laws",6850
"pay","dispute",6850
"ticket","issued",6850
"violating","quality",6850
"street","blocked",6830
"report","waste",6809
"section","8",6708
"job","center",6702
"ownership","records",6657
"property","ownership",6657
"request","pruning",6643
"tree","pruning",6643
"marriage","license",6613
"food","delivery",6543
"authority","apartment",6535
"water","leaking",6526
"location","information",6405
"office","location",6405
"personal","property",6362
"assistance","welfare",6193
"center","locations",6193
"health","guidance",6170
"symptoms","prevention",6170
"emergency","services",6155
"government","information",6155
"stop","shop",6155
"regulated","apartments",6146
"city","government",6129
"collection","days",5673
"profit","address",5673
"additional","assistance",5658
"authority","tenant",5658
"bathtub","drain",5623
"heavy","rainfall",5623
"sewage","coming",5623
"sink","drain",5623
"toilet","sink",5623
"homeless","person",5609
"recreation","center",5575
"building","occupancy",5572
"illegal","building",5572
"past","conversion",5572
"afford","delivery",5554
"cash","assistance",5413
"criminal","moving",5343
"moving","violations",5343
"government","processes",5320
"mayor","including",5320
"submit","opinions",5320
"tax","filing",5317
"benefit","cards",5311
"card","balance",5311
"change","pin",5311
"medicaid","benefit",5311
"replace","lost",5311
"snap","cash",5311
"stolen","cards",5311
"driver","photo",5281
"id","card",5281
"photo","id",5281
"vehicle","including",5272
"report","broken",5230
"driver","licenses",5171
"road","test",5171
"curbside","tree",5138
"parking","meter",5135
"broken","equipment",5130
"equipment","unclean",5130
"park","pool",5130
"pool","recreation",5130
"unclean","conditions",5130
"sewer","bills",5122
"tax","benefits",5121
"water","pressure",5038
"water","water",5038
"idnyc","card",5027
"chronic","dumping",4955
"report","past",4955
"police","department",4938
"batteries","oil",4904
"apartment","public",4900
"basement","learn",4900
"prevent","leaks",4900
"8","program",4893
"dead","animal",4872
"age","62",4865
"property","damage",4845
"catch","basin",4762
"marriage","record",4704
"power","outage",4638
"city's","response",4632
"sidewalk","violation",4627
"violation","request",4627
"recycling","collection",4607
"complaint","compliment",4551
"traffic","condition",4521
"travel","conditions",4521
"york","metro",4521
"vehicle","towed",4499
"stabilized","apartments",4486
"services","including",4484
"actionnyc","immigration",4483
"applications","resources",4483
"citizenship","applications",4483
"immigration","legal",4483
"including","actionnyc",4483
"york","police",4480
"card","information",4384
"damaged","card",4384
"updating","idnyc",4384
"box","spring",4347
"change","requests",4347
"parking","suspensions",4347
"permit","inspection",4326
"pre","permit",4326
"city","contractor",4288
"insurance","coverage",4258
"contractor","including",4252
"including","damage",4252
"personal","injury",4252
"report","personal",4252
"advertising","sign",4236
"atm","advertising",4236
"dumpster","trash",4236
"fruit","stand",4236
"merchandise","tree",4236
"restaurant","fruit",4236
"sign","merchandise",4236
"stand","atm",4236
"tree","vendor",4236
"vendor","dumpster",4236
"eligible","adults",4168
"free","health",4168
"harmful","household",4129
"automotive","products",4124
"potentially","harmful",4124
"highway","bridge",4040
"illegal","practices",4040
"report","unfair",4040
"federal","taxes",4038
"hurricane","ida",4007
"school","enrollment",4004
"enrollment","center",3932
"idnyc","issues",3932
"issues","status",3932
"mobile","enrollment",3932
"criminal","activity",3902
"city","sidewalks",3877
"free","repair",3877
"qualifying","city",3877
"roots","request",3877
"severely","damaged",3877
"sidewalk","tree",3877
"tree","consultation",3877
"tree","roots",3877
"city","parking",3821
"homeowners","65",3795
"income","tax",3777
"star","property",3754
"18","inches",3753
"account","issues",3753
"filed","business",3753
"filing","payment",3753
"gutter","including",3753
"including","18",3753
"tax","return",3753
"report","discrimination",3698
"specific","location",3670
"home","care",3666
"employment","housing",3662
"housing","public",3662
"public","accommodations",3662
"affordable","apartment",3640
"housing","plan",3640
"housing","study",3640
"air","quality",3636
"inadequate","street",3617
"report","missed",3617
"street","cleaning",3617
"blocked","defective",3616
"clogged","blocked",3616
"curb","piece",3616
"apartment","defective",3606
"electrical","equipment",3606
"exposed","wiring",3606
"faulty","outdoor",3606
"outdoor","electrical",3606
"parking","regulations",3592
"item","lost",3574
"signs","stickers",3565
"assistance","recipients",3531
"boiler","repairs",3506
"heap","paying",3506
"heat","utilities",3506
"property","owners",3492
"sexual","harassment",3419
"holidays","key",3413
"key","dates",3413
"school","holidays",3413
"unplanned","closures",3413
"abandoned","animal",3408
"related","emergency",3404
"promote","recycling",3395
"illness","caused",3382
"cat","calling",3367
"harassment","cat",3367
"harassment","including",3367
"including","sexual",3367
"guard","dog",3329
"loss","theft",3329
"report","loss",3329
"dog","license",3322
"request","register",3322
"housing","options",3307
"immunization","records",3292
"report","stolen",3291
"stolen","property",3291
"registrations","titles",3279
"titles","license",3279
"vehicle","registrations",3279
"income","families",3263
"drinking","water",3258
"water","quality",3235
"eatery","schedule",3217
"wild","animals",3211
"report","wild",3209
"water","main",3209
"wildlife","including",3209
"green","taxi",3167
"domestic","violence",3158
"abandoned","building",3152
"apartment","loft",3152
"loft","public",3152
"report","mold",3152
"test","results",3150
"bed","bugs",3145
"public","hospitals",3141
"report","abuse",3124
"birds","request",3093
"dead","birds",3093
"dead","deer",3093
"residential","private",3093
"unusual","cluster",3093
"homeless","encampment",3042
"car","accident",3041
"residential","units",3038
"judgment","debt",3023
"nycha","section",3023
"violations","issued",3022
"business","employ",2993
"employ","capital",2993
"lease","property",2993
"current","time",2991
"today's","date",2991
"food","establishments",2985
"engine","idling",2984
"food","protection",2984
"honking","engine",2984
"horn","honking",2984
"including","horn",2984
"loud","music",2984
"protection","courses",2984
"homeless","people",2981
"public","housing",2973
"eligible","individuals",2927
"stimulus","payments",2927
"elected","officials",2921
"federal","elected",2914
"check","application",2905
"nycha","public",2905
"status","learn",2905
"identify","theft",2898
"report","identify",2898
"civil","service",2886
"building","water",2865
"odor","taste",2865
"tank","inspections",2865
"taste","discolor",2865
"water","learn",2865
"water","odor",2865
"water","tank",2865
"public","schools",2849
"owe","parking",2823
"violation","judgment",2823
"coronavirus","vaccination",2816
"include","coronavirus",2816
"police","custody",2803
"emergency","assistance",2792
"exams","including",2788
"fees","change",2788
"including","results",2788
"personal","information",2788
"results","schedules",2788
"schedules","fees",2788
"service","exams",2788
"individual","adults",2782
"bail","mailing",2766
"charges","court",2766
"court","date",2766
"date","bail",2766
"inmate's","location",2766
"location","id",2766
"mailing","address",2766
"release","date",2766
"postal","service",2754
"service","products",2754
"meter","information",2752
"start","stop",2752
"manhattan","residents",2741
"parking","spaces",2741
"term","parking",2741
"short","term",2740
"street","fair",2729
"term","emergency",2719
"dangerous","condition",2710
"dead","tree",2692
"standing","dead",2692
"public","meetings",2665
"exhibitions","public",2663
"festivals","exhibitions",2663
"parades","festivals",2663
"found","guilty",2646
"hearing","decision",2646
"violation","hearing",2646
"recorded","information",2623
"rent","controlled",2623
"correction","custody",2604
"medical","attention",2604
"city","agency",2598
"eviction","notice",2570
"homebase","program",2570
"19","health",2564
"block","lot",2562
"borough","block",2562
"lot","bbl",2562
"2","family",2556
"family","home",2556
"police","officer",2533
"damaged","sidewalk",2518
"federal","benefits",2461
"income","due",2461
"lost","income",2461
"related","federal",2461
"city","beach",2457
"doe","chancellor",2435
"doe","public",2435
"doe","staff",2435
"education","doe",2435
"school","teachers",2435
"teachers","principals",2435
"access","highway",2426
"disabled","vehicle",2426
"limited","access",2426
"street","limited",2426
"12","students",2418
"free","summer",2418
"replace","traditional",2418
"summer","programs",2418
"summer","school",2418
"traditional","summer",2418
"authority","discourtesy",2410
"force","abuse",2410
"nypd","criminal",2410
"offensive","language",2410
"officer","report",2410
"report","nypd",2410
"report","unnecessary",2410
"cafeteria","bakery",2404
"deli","grocery",2404
"grocery","market",2404
"market","cafeteria",2404
"restaurant","deli",2404
"unsanitary","restaurant",2404
"features","activities",2356
"national","parks",2356
"food","spoiled",2319
"taxi","driver",2309
"city","employees",2292
"verizon","telephone",2290
"driving","refusing",2288
"including","rudeness",2288
"maintenance","issues",2288
"request","maintenance",2288
"route","complaints",2288
"rudeness","unsafe",2288
"unsafe","driving",2288
"sell","food",2272
"car","service",2229
"nyc","marshal",2213
"street","sign",2206
"prepay","tolls",2146
"agency","record",2124
"foil","request",2124
"information","law",2124
"law","foil",2124
"paratransit","transportation",2103
"poll","site",2084
"court","including",2065
"family","court",2065
"including","locations",2065
"including","medical",2064
"medical","concerns",2064
"shelter","system",2064
"child","abuse",2055
"city's","clerk",2047
"clerk","office",2047
"19","vaccination",2039
"counseling","support",2037
"report","domestic",2037
"entering","someone's",2027
"report","trespassing",2027
"someone's","property",2027
"school","bus",2016
"commits","fraud",1972
"deceptive","practices",1972
"manhole","cover",1967
"lost","property",1962
"police","report",1962
"hpd","section",1920
"age","18",1919
"kindergarten","enrollment",1916
"pre","kindergarten",1916
"condo","units",1915
"reduce","property",1915
"mosquito","season",1909
"standing","water",1909
"unpaid","parking",1907
"building","owner",1883
"resources","referrals",1874
"rent","increases",1863
"damaged","noisy",1846
"raised","damaged",1846
"sunken","raised",1846
"choice","voucher",1840
"hcv","program",1840
"housing","choice",1840
"voucher","hcv",1840
"building","exterior",1829
"cracked","building",1829
"leaning","unstable",1829
"shaking","vibrating",1829
"vibrating","leaning",1829
"domestic","partnership",1827
"phone","service",1827
"mobile","app",1826
"street","parking",1826
"bugs","fleas",1819
"fleas","flies",1819
"mice","bed",1819
"report","mice",1819
"found","property",1818
"report","lost",1818
"untidy","yard",1796
"yard","alley",1796
"fire","hazard",1789
"potential","fire",1789
"digital","proof",1785
"excelsior","pass",1785
"negative","test",1785
"secure","digital",1785
"state's","excelsior",1785
"york","state's",1785
"transportation","options",1784
"building","smoking",1779
"including","sidewalks",1779
"sidewalks","highways",1779
"smoking","policy",1779
"cigarette","vending",1769
"owner","failing",1769
"report","smoking",1769
"unattended","cigarette",1769
"vending","machine",1769
"health","related",1762
"limousine","ambulette",1751
"outdoor","dining",1702
"biking","lane",1677
"loose","debris",1677
"stray","trash",1677
"trash","bag",1677
"damaged","painted",1665
"illegally","cut",1665
"96th","street",1662
"commercial","rent",1662
"crt","paid",1662
"manhattan","south",1662
"rent","tax",1662
"tax","crt",1662
"fire","department",1651
"speed","camera",1650
"care","tax",1646
"child","tax",1646
"construction","including",1646
"credit","ctc",1646
"federal","child",1646
"including","jackhammer",1646
"jackhammer","noise",1646
"gas","related",1642
"divorce","judgment",1640
"safety","rules",1639
"red","light",1626
"street","highway",1614
"tunnel","closures",1614
"bus","lane",1610
"camera","notice",1604
"lane","red",1604
"liability","nol",1604
"social","distancing",1604
"corrections","facility",1598
"main","shutdowns",1590
"scheduled","water",1590
"water","disruptions",1590
"main","break",1578
"community","boards",1577
"physical","disabilities",1573
"consumer","affairs",1556
"medicare","recipients",1539
"recipients","seniors",1539
"including","vaccine",1536
"safety","plans",1536
"school","testing",1536
"schools","including",1536
"vaccine","mandates",1536
"business","license",1529
"street","construction",1519
"active","street",1513
"repair","permit",1513
"sidewalk","repair",1513
"adult","age",1512
"adult","protective",1512
"protective","services",1512
"school","program",1508
"closures","service",1506
"distancing","guidance",1506
"city","streets",1503
"cell","phone",1500
"elementary","school",1498
"electric","service",1493
"illegal","fireworks",1493
"reconnect","electric",1493
"handles","disputes",1490
"day","care",1489
"school","zone",1487
"student's","school",1487
"zone","based",1487
"labor","day",1486
"monday","september",1486
"september","6th",1486
"care","providers",1480
"household","trash",1472
"proper","disposal",1472
"vendor","operating",1467
"vacant","lot",1462
"senior","age",1460
"foreign","passports",1456
"passports","visas",1456
"care","services",1430
"employer","violating",1429
"law","report",1429
"leave","law",1429
"paid","safe",1429
"sick","leave",1429
"flu","shot",1420
"sanitation","vehicle",1414
"pay","taxes",1411
"taxes","collected",1411
"hazardous","occupations",1404
"health","care",1398
"compost","collection",1396
"crime","victim",1394
"dhe","star",1394
"homeowner","exemptions",1394
"sche","dhe",1394
"star","veterans",1394
"veterans","clergy",1394
"victim","homeowner",1394
"public","library",1381
"court","document",1376
"boroughs","report",1373
"newly","planted",1373
"planted","tree",1373
"covid","test",1365
"negative","covid",1365
"results","correct",1365
"telephone","pole",1349
"licensed","professional",1348
"age","3",1338
"developmental","delays",1338
"intervention","services",1338
"criminal","mischief",1332
"damaged","property",1332
"mischief","vandalism",1332
"report","criminal",1332
"swimming","pool",1330
"illegal","drug",1326
"programs","including",1326
"admissions","process",1316
"middle","school",1316
"illegal","drugs",1314
"overgrown","grass",1307
"report","overgrown",1307
"age","65",1301
"seniors","age",1301
"benefits","pension",1297
"health","benefits",1297
"human","resource",1297
"pension","funds",1297
"resource","issues",1297
"airports","airtrain",1288
"ground","transportation",1288
"kennedy","laguardia",1288
"newark","airports",1288
"compliance","filings",1283
"filings","inspection",1283
"inspection","requests",1283
"job","filings",1283
"license","applications",1283
"renewals","online",1283
"requests","compliance",1283
"submitting","job",1283
"disabilities","living",1281
"report","damage",1281
"street","caused",1278
"public","swimming",1277
"nursing","home",1273
"enrollment","coverage",1270
"insurance","program",1270
"including","visitor",1269
"inmate","including",1269
"rikers","visit",1269
"rules","visiting",1269
"schedule","travel",1269
"travel","directions",1269
"visit","bus",1269
"visiting","schedule",1269
"visitor","rules",1269
"real","property",1265
"landlord","harasses",1262
"add","prune",1261
"owner's","expense",1261
"property","owner's",1261
"prune","decorate",1261
"kidnapped","check",1260
"missing","abducted",1260
"missing","person",1260
"gas","service",1259
"reconnect","gas",1259
"free","cell",1247
"safelink","wireless",1247
"school","student",1246
"care","programs",1231
"city","funded",1231
"funded","child",1231
"including","earlylearn",1231
"licensed","child",1231
"cable","tv",1230
"internet","provider",1230
"tv","phone",1230
"nyc","public",1229
"care","physician",1223
"primary","care",1223
"improve","air",1212
"indoor","air",1212
"quality","alerts",1212
"quality","sign",1212
"social","services",1202
"protection","issued",1193
"bridge","condition",1191
"bridge","maintenance",1191
"bridges","request",1191
"request","bridge",1191
"person's","trash",1190
"placing","trash",1190
"branches","shrubs",1177
"lien","sale",1177
"lumber","tree",1177
"tree","branches",1177
"repair","install",1160
"eligibility","obligations",1159
"obligations","payments",1159
"payments","enforcement",1159
"child","missed",1152
"school","transportation",1152
"tax","class",1149
"tax","liens",1147
"taxes","water",1147
"unpaid","property",1147
"wellness","check",1143
"business","certificates",1142
"certificates","divorce",1142
"court","notary",1142
"divorce","court",1142
"document","maintenance",1142
"electric","company",1142
"gas","heat",1142
"notary","verification",1142
"phone","gas",1142
"supreme","court",1142
"accessing","city",1139
"city","programs",1139
"services","report",1139
"alcohol","addiction",1138
"alcohol","rehab",1138
"drug","alcohol",1138
"facility","complaint",1138
"rehab","facility",1138
"service","company",1138
"ambulette","black",1134
"black","cab",1134
"locations","hours",1132
"report","street",1131
"street","flooding",1131
"employment","programs",1126
"report","telemarketing",1122
"telemarketing","fraud",1122
"chronic","littering",1116
"independence","day",1111
"july","4th",1111
"july","5th",1111
"monday","july",1111
"sunday","july",1111
"truck","schedule",1109
"recycling","stored",1099
"online","business",1081
"online","service",1081
"building","exits",1064
"fire","escapes",1064
"inadequate","building",1064
"report","blocked",1064
"employee's","behavior",1060
"sanitation","employee's",1060
"school","district",1058
"preventing","mosquitoes",1057
"spraying","schedules",1057
"water","report",1057
"normal","process",1056
"report","bed",1052
"neutering","services",1049
"spay","neutering",1049
"bar","club",1048
"learning","options",1042
"options","school",1042
"school","health",1042
"disorderly","person",1038
"account","system",1026
"expense","statement",1026
"including","utilities",1026
"income","producing",1026
"nyc","schools",1026
"producing","properties",1026
"properties","including",1026
"property","income",1026
"schools","account",1026
"including","free",1022
"rabies","dead",1015
"metered","parking",1014
"photograph","vehicles",1013
"sewer","bill",1011
"care","assistance",1009
"class","exemptions",1006
"foreign","country",1006
"property's","values",1006
"values","tax",1006
"accessing","financial",1003
"tattoo","artist",1001
"nyc","program",999
"indoor","businesses",998
"traffic","sign",990
"city's","emergency",989
"delivery","program",989
"emergency","home",989
"home","food",989
"hump","installation",987
"installation","repair",987
"public","health",987
"request","speed",987
"speed","bump",987
"low","cost",985
"covid","emergency",980
"ny","state's",980
"state's","covid",980
"free","classes",974
"diploma","including",971
"ged","exam",971
"tasc","diploma",971
"career","center",966
"management","agency",966
"workforce1","career",966
"adult","learners",956
"continuing","education",956
"education","courses",956
"esl","vocational",956
"exam","preparation",956
"including","ged",956
"learners","including",956
"preparation","esl",956
"tasc","exam",956
"vocational","training",956
"missing","sunken",954
"steaming","manhole",954
"tax","ubt",942
"unincorporated","business",942
"cable","service",941
"telephone","internet",941
"care","centers",939
"city","services",936
"dangerous","driving",933
"report","reckless",933
"citi","bike",931
"animal","care",928
"requiring","customers",928
"sidewalk","shed",924
"hanging","scaffold",916
"pipe","scaffold",916
"scaffold","suspended",916
"animal","waste",915
"report","dog",915
"street","sidewalk",915
"accessible","taxi",913
"wheelchair","accessible",913
"hot","meals",911
"meals","clothing",911
"people","living",911
"bike","membership",906
"equipment","maintenance",906
"school","zones",904
"vehicles","speeding",904
"enforcement","report",899
"fire","ambulance",899
"report","barbecuing",897
"residential","barbecuing",897
"appeals","bail",896
"bail","summonses",896
"criminal","courts",896
"hours","arrests",896
"status","appeals",896
"violence","services",896
"agency","charges",894
"charges","fees",894
"8","assistance",891
"receiving","section",891
"home","repair",889
"staten","island",886
"columbus","day",870
"heritage","day",870
"indigenous","peoples",870
"italian","heritage",870
"monday","october",870
"october","11th",870
"peoples","day",870
"smell","coming",867
"bus","driver",864
"yellow","school",864
"adults","children",862
"children","seniors",862
"city","planning",862
"insurance","programs",862
"care","professionals",861
"children's","services",861
"report","standing",852
"water","outdoors",852
"bar","offering",851
"dining","structure",851
"offering","outdoor",851
"condo","apartment",850
"gas","piping",845
"agency","commissioners",844
"commissioners","deputy",844
"contact","agency",844
"deputy","mayors",844
"mayor's","senior",844
"senior","staff",844
"lead","paint",836
"camps","day",835
"camps","report",835
"day","camps",835
"overnight","camps",835
"summer","camps",835
"facility","schedule",833
"inmate","property",833
"personal","items",833
"property","pickup",833
"kindergarten","program",832
"school","kindergarten",832
"including","owners",828
"licensees","including",828
"owners","taxi",828
"service","drivers",828
"taxi","drivers",828
"taxi","licensees",828
"lanternfly","sighting",817
"spotted","lanternfly",817
"chemical","odors",816
"report","chemical",816
"stored","safely",816
"filing","options",815
"free","tax",815
"profit","organization",811
"garbage","truck",810
"divorce","proceedings",808
"business","selling",807
"black","car",806
"entitlement","counseling",802
"property","drainpipe",791
"elected","official",786
"investigates","complaints",786
"socially","distancing",784
"special","waste",780
"residential","property",769
"stolen","vehicle",766
"2021","nyc",764
"accident","report",761
"vehicle","accident",761
"student","records",758
"home","delivery",752
"schedule","cancel",752
"request","student",750
"report","missing",749
"document","issued",741
"health","services",741
"york","certified",741
"care","center",739
"cap","fitting",735
"installation","removal",735
"locking","unlocking",735
"relocation","locking",735
"removal","relocation",735
"request","installation",735
"spray","cap",735
"center","licensing",734
"licensing","operation",734
"animal","causing",733
"hazardous","condition",733
"marriage","ceremonies",732
"perform","marriage",732
"disposal","rules",731
"report","welfare",731
"welfare","fraud",731
"rent","freeze",728
"public","trash",725
"senior","center",725
"litter","basket",724
"cart","stand",715
"food","cart",715
"unsanitary","food",715
"follow","trash",712
"recycling","disposal",712
"carbon","monoxide",706
"car","home",705
"health","car",705
"home","life",705
"insurance","company",705
"property","insurance",705
"local","law",704
"legal","assistance",699
"freeze","issue",698
"traffic","rules",698
"exhaust","system",697
"illegal","installed",697
"inadequate","ventilation",697
"installed","improperly",697
"report","inadequate",697
"ventilation","inside",697
"including","syep",693
"island","ferry",693
"people","including",693
"8","voucher",691
"community","renewal",691
"graffiti","removal",691
"hcr","2021",691
"lottery","application",691
"nyc","section",691
"renewal","hcr",691
"request","graffiti",691
"voucher","waitlist",691
"waitlist","lottery",691
"student","qualifies",687
"public","litter",685
"free","grab",679
"height","limit",677
"limit","missing",677
"replacement","public",676
"sales","tax",675
"support","hotline",674
"registration","status",673
"clinic","offering",671
"bank","credit",667
"credit","union",667
"deposit","company",667
"highways","road",667
"lending","institution",667
"report","graffiti",667
"road","medians",667
"safe","deposit",667
"traffic","islands",667
"union","lending",667
"amount","owed",665
"board","ecb",665
"control","board",665
"dead","pets",665
"ecb","judgments",665
"environmental","control",665
"reduce","amount",665
"temporary","program",665
"homeowners","exemption",661
"retrieve","items",660
"sidewalk","gratings",660
"report","improper",658
"supportive","housing",655
"parking","lot",651
"related","issues",644
"motor","vehicle",640
"report","social",636
"security","fraud",636
"air","complaint",635
"citizen's","air",635
"engine","running",635
"minutes","learn",635
"financial","advice",632
"professional","financial",632
"commercial","building",629
"mortgage","relief",618
"car","limousine",617
"commuter","van",617
"taxi","black",617
"assistance","clients",616
"pay","property",615
"tax","debt",615
"afford","internet",613
"households","struggling",613
"internet","service",613
"temporary","discounts",613
"construction","demolition",609
"demolition","renovation",609
"report","dust",609
"roadwork","construction",609
"charter","schools",608
"defer","property",607
"experiencing","hardship",607
"homeowners","experiencing",607
"service","requests",603
"poison","related",602
"fares","nyc",600
"dust","due",598
"lead","dust",598
"paint","peeling",598
"peeling","paint",598
"report","lead",598
"water","meter",590
"building","constructed",588
"letter","dob",588
"code","noise",584
"current","noise",584
"noise","code",584
"noise","reduction",584
"noise","safety",584
"reduction","projects",584
"commercial","location",582
"citizen","homeowners",581
"legal","service",581
"service","billing",580
"ages","60",574
"yorkers","ages",574
"center","offering",573
"offering","support",573
"government","employees",572
"waste","disposal",572
"con","edison",570
"edison","worksites",570
"submit","questions",570
"gum","disease",569
"mouth","healthy",569
"prevent","tooth",569
"tooth","decay",569
"adult","vaccinations",568
"human","resources",568
"improve","residential",568
"resources","administration",568
"19","mortgage",565
"counseling","covid",565
"credit","debt",565
"forbearance","loan",565
"foreclosure","housing",565
"legal","counseling",565
"loan","modifications",565
"money","management",565
"relief","forbearance",565
"biking","riding",564
"motorized","scooters",564
"people","biking",564
"riding","motorized",564
"scooters","rollerblading",564
"city's","school",561
"reopening","policy",561
"school","reopening",561
"inspection","certification",558
"law","152",558
"piping","system",558
"system","inspection",558
"affairs","dca",555
"commercial","waste",553
"disposal","company",553
"domestic","animals",550
"unknown","source",549
"occupancy","residential",546
"residential","facility",546
"air","conditioned",544
"cooling","center",544
"dangerously","hot",544
"cover","future",543
"future","costs",543
"repair","service",543
"service","lines",543
"tow","truck",543
"block","party",542
"city","commercial",541
"commercial","motor",541
"tax","cmvt",541
"vehicle","tax",541
"care","provider",540
"online","tool",539
"veterans","property",539
"fair","parade",538
"party","street",538
"bike","chained",536
"chained","bike",536
"unusable","chained",536
"broken","leaking",535
"frozen","missing",535
"leaking","frozen",535
"residential","buildings",533
"1910","death",531
"birth","certificates",531
"death","certificates",531
"drag","racing",531
"funeral","expenses",531
"marriage","records",531
"report","drag",531
"request","birth",531
"request","financial",531
"governor","andrew",530
"provide","free",530
"service","providers",530
"missing","faded",529
"obscured","traffic",529
"traffic","lines",529
"city's","public",528
"rent","payments",528
"building","floor",525
"comparing","plan",525
"floor","plans",525
"medicare","medicaid",525
"plan","choices",525
"understanding","medicare",525
"assistance","specifically",524
"report","people",522
"nyc","ferry",521
"improper","trash",520
"trash","disposal",520
"report","illness",517
"cannabis","marijuana",516
"ferry","including",516
"including","routes",516
"legislation","legalizing",516
"lost","item",516
"professional","misconduct",516
"report","professional",516
"routes","fares",516
"garbage","alongside",511
"litter","debris",511
"report","litter",511
"enrollment","assistance",510
"free","home",510
"income","senior",510
"insurance","plan",510
"person","enrollment",510
"foster","care",501
"owned","businesses",501
"ecb","violations",498
"submit","proof",498
"breaking","park",497
"park","rules",497
"elementary","middle",496
"student","report",496
"vacant","building",495
"sewage","leak",493
"stump","removals",491
"tree","stump",491
"medical","appointments",489
"care","facility",487
"facility","child",487
"cost","immunization",485
"health","tuberculosis",485
"immunization","sexual",485
"offering","free",485
"sexual","health",485
"afford","insurance",483
"15","month",481
"internet","providers",481
"offer","15",481
"providers","operating",481
"requires","internet",481
"speed","internet",481
"died","adoptions",480
"handles","wills",480
"wills","estates",480
"financial","aid",479
"traveling","abroad",478
"business","trash",477
"illegally","removed",474
"report","asbestos",474
"senior","transportation",473
